date,rain_jeju(mm),rain_seogwipo(mm)
2019-09-01 00:00:00+09:00,26.1,18.7
2019-09-02 00:00:00+09:00,25.7,14.6
2019-09-03 00:00:00+09:00,13.9,9.5
2019-09-04 00:00:00+09:00,43.0,28.9
2019-09-05 00:00:00+09:00,7.0,15.7
2019-09-06 00:00:00+09:00,68.8,54.1
2019-09-07 00:00:00+09:00,34.3,6.9
2019-09-08 00:00:00+09:00,19.0,29.5
2019-09-09 00:00:00+09:00,24.7,21.9
2019-09-10 00:00:00+09:00,0.0,0.0
2019-09-11 00:00:00+09:00,5.0,0.0
2019-09-12 00:00:00+09:00,0.6,0.0
2019-09-13 00:00:00+09:00,0.0,0.0
2019-09-14 00:00:00+09:00,0.0,0.0
2019-09-15 00:00:00+09:00,0.0,0.0
2019-09-16 00:00:00+09:00,0.0,0.0
2019-09-17 00:00:00+09:00,0.0,0.0
2019-09-18 00:00:00+09:00,0.0,0.0
2019-09-19 00:00:00+09:00,0.0,0.0
2019-09-20 00:00:00+09:00,0.0,0.7
2019-09-21 00:00:00+09:00,156.0,57.8
2019-09-22 00:00:00+09:00,126.2,78.9
2019-09-23 00:00:00+09:00,0.0,0.6
2019-09-24 00:00:00+09:00,0.0,0.0
2019-09-25 00:00:00+09:00,0.0,0.0
2019-09-26 00:00:00+09:00,1.0,0.1
2019-09-27 00:00:00+09:00,36.0,12.4
2019-09-28 00:00:00+09:00,0.7,0.0
2019-09-29 00:00:00+09:00,0.0,38.3
2019-09-30 00:00:00+09:00,22.6,6.3
2019-10-01 00:00:00+09:00,36.3,35.4
2019-10-02 00:00:00+09:00,136.2,102.8
2019-10-03 00:00:00+09:00,0.2,0.1
2019-10-04 00:00:00+09:00,0.0,0.0
2019-10-05 00:00:00+09:00,0.0,0.0
2019-10-06 00:00:00+09:00,1.0,0.2
2019-10-07 00:00:00+09:00,0.0,9.1
2019-10-08 00:00:00+09:00,0.0,0.0
2019-10-09 00:00:00+09:00,0.0,0.0
2019-10-10 00:00:00+09:00,0.0,0.0
2019-10-11 00:00:00+09:00,0.0,0.0
2019-10-12 00:00:00+09:00,0.0,0.0
2019-10-13 00:00:00+09:00,0.0,0.0
2019-10-14 00:00:00+09:00,0.0,0.0
2019-10-15 00:00:00+09:00,3.2,0.0
2019-10-16 00:00:00+09:00,0.0,0.0
2019-10-17 00:00:00+09:00,0.0,0.0
2019-10-18 00:00:00+09:00,8.3,2.6
2019-10-19 00:00:00+09:00,0.0,0.0
2019-10-20 00:00:00+09:00,0.0,0.0
2019-10-21 00:00:00+09:00,0.0,0.0
2019-10-22 00:00:00+09:00,0.5,0.0
2019-10-23 00:00:00+09:00,0.6,0.0
2019-10-24 00:00:00+09:00,2.3,0.4
2019-10-25 00:00:00+09:00,0.0,0.0
2019-10-26 00:00:00+09:00,0.0,0.0
2019-10-27 00:00:00+09:00,0.0,0.0
2019-10-28 00:00:00+09:00,0.0,0.0
2019-10-29 00:00:00+09:00,0.0,0.0
2019-10-30 00:00:00+09:00,0.0,0.0
2019-10-31 00:00:00+09:00,0.0,0.0
